Date,User,Tweet
2013-12-19 12:45:38+00:00,sambitswaraj,Friends today(19/12/13) I would be on @ndtv India at 9pm #AAPdrama
2013-12-19 04:53:17+00:00,sambitswaraj,"""Not to take a decision is also a decision"" Vajpayee had said to Congress on Lokpal- Dr Patra to IBN-7 http://t.co/I8aEVDOzQz via @ibnlive"
2013-12-19 04:07:59+00:00,sambitswaraj,Remember Vajpayee was the first PM who wanted PM to be under Lokpal says Dr Patra to Ashutosh in IBN7 http://t.co/I8aEVDOzQz via @ibnlive
2013-12-19 03:45:12+00:00,sambitswaraj,Ideology is something which can never be diluted by SMS' es-Dr Sambit Patra on AAP Gimmick to CNN-IBN http://t.co/IWmzQ0eaCr
2013-12-18 16:22:50+00:00,sambitswaraj,Is AAP's decision to get views through SMS'ses a Gimmick?...asks @sardesairajdeep  on @ibnlive at 10pm..participating in it..pls watch :-)
2013-12-18 16:17:09+00:00,sambitswaraj,Debate on @ibnlive with @sardesairajdeep begins now..9.46pm #WhoWillFormGovt in Delhi
2013-12-18 14:30:15+00:00,sambitswaraj,On @ibnkhabar with @ashutoshibn7 on Agenda #Lokpal
2013-12-18 13:41:13+00:00,sambitswaraj,Friends I would also be on @ibnkhabar (IBN-7) at 8pm #Lokpal
2013-12-18 12:59:24+00:00,sambitswaraj,Salient features of Lokpal Bill http://t.co/n21BC292D0
2013-12-18 12:49:43+00:00,sambitswaraj,Salient features of Lokpal Bill http://t.co/BjE2ptVCwm
2013-12-18 11:08:46+00:00,sambitswaraj,Friends today (18/12/13) I would be on @ibnlive (CNN-IBN) at 9.40pm-10.15pm #WhoWillFormGovt
2013-12-18 07:02:18+00:00,sambitswaraj,@BDUTT many many Happy Returns of the Day:-)
2013-12-18 07:00:54+00:00,sambitswaraj,"No one knew, neither was anyone interested to know the caste of Devyani Khobragade...till 'Mayawati' Stepped in.. #hypocrisy"
2013-12-18 05:37:50+00:00,sambitswaraj,The 'Govt'-'Govt' Game in Delhi becoming interesting day by day..has taken a new Digital-Turn..with SMS'es and tweets..play well friends GM!
2013-12-18 05:10:23+00:00,sambitswaraj,@RealOdishaNews @HeadlinesToday I did not run down any language. .I upheld the pride of my Country 'Hindi'..I m 'Hindi' first 'Oriya' later!
2013-12-17 17:52:48+00:00,sambitswaraj,@bharatmatakijai @HeadlinesToday remember its the new Delhi constituency frm where Kejriwal won...:-)
2013-12-17 17:16:24+00:00,sambitswaraj,@bharatmatakijai its nt just d 200 strong crowd I was thinking of..I ws concerned bout d English viewers of @HeadlinesToday across d country
2013-12-17 16:48:13+00:00,sambitswaraj,Really difficult on d @HeadlinesToday public show..d people connect was with Hindi &amp; d Channel demanded English..confusion over performance!
2013-12-17 16:39:12+00:00,sambitswaraj,Watch me now 10pm on @HeadlinesToday ..#AAPdrama
2013-12-17 15:38:34+00:00,sambitswaraj,I would also be on @News24 9pm-10pm
2013-12-17 14:54:36+00:00,sambitswaraj,Sorry the @HeadlinesToday debate goes on air at 10pm
2013-12-17 14:51:54+00:00,sambitswaraj,The war starts on @HeadlinesToday now at 8.30pm...pls watch....
2013-12-17 13:21:42+00:00,sambitswaraj,Friends today (17/12/13)I would also be on @aajtak at 8pm and on @HeadlinesToday at 8.30pm #AAPdrama
2013-12-17 13:03:20+00:00,sambitswaraj,@JehangirPocha hii ...good to follow u :-)
2013-12-17 12:24:21+00:00,sambitswaraj,Would continue to be on @indiatvnews on #lokpal Bill..6pm
2013-12-17 12:03:42+00:00,sambitswaraj,Debate continues on @indiatvnews on #AAPdrama
2013-12-17 11:29:05+00:00,sambitswaraj,New INDIA TV @indiatvnews studio has a very classy international look ...congrax @RajatSharmaLive http://t.co/RxvHraCzy6
2013-12-17 11:03:38+00:00,sambitswaraj,Friends pls watch me today (17/12/13) on @indiatvnews (INDIA TV) at 5pm #WhoWillFormGovt in Delhi
2013-12-17 10:52:48+00:00,sambitswaraj,"Government must rethink on jurisdiction of Lokpal, says Arun Jaitley in Rajya Sabha http://t.co/Vq4pUN78TV"
2013-12-17 10:19:49+00:00,sambitswaraj,9 key provisions of Lokpal Bill http://t.co/GdP4lR1xe2
2013-12-17 07:09:19+00:00,sambitswaraj,@nanditathhakur walkout against Lokpal Bill
